Sample name,Roof ,Datetime,B,B.rsd,Na,Na.rsd,Mg,Mg.rsd,Al,Al.rsd,Ti,Ti.rsd,V,V.rsd,Cr,Cr.rsd,Mn,Mn.rsd,Fe,Fe.rsd,Co,Co.rsd,Ni,Ni.rsd,Cu,Cu.rsd,Zn,Zn.rsd,As,As.rsd,Sr,Sr.rsd,Mo,Mo.rsd,Cd,Cd.rsd,Ba,Ba.rsd,Pb,Pb.rsd
we2 010819 02 ,Eco,1/8/2019 3:05,4.091421577,0,1311.375977,0,675.9290468,0,5.017118586,0,0.666638355,41.85712422,2.071135449,0,0.02085929,0,0,0,16.28857352,0,0,0,0,0,0,0,0,15.31873352,0.676482571,0,37.68963463,11.92714992,0.105607247,0,0,77.74776785,9.677625381,0,0,0
WE3 81118 01 ,Conventional,8/11/2018 16:12,43.76695487,2.352667629,2308.13928,0,2047.274289,0,119.3288253,32.09324689,2.610829721,23.7553275,2.43613833,0,1.732464215,0,349.4795368,0,2094.980315,0,2.837370207,5.438217116,7.053418511,0,16.22889147,0,273.019339,0,1.21238853,40.08970918,108.034724,5.517281973,2.622659153,0,0.050040186,43.19531191,158.0647675,3.75309442,1.594277956,0
WE3 81118 02 ,Conventional,8/11/2018 16:15,31.05233516,0.77020344,3495.720121,0,3119.134834,0,237.042221,30.37344082,7.323151833,38.92171541,4.940807138,0,3.100477923,0,395.1228718,0,1097.053822,0.0248219,4.641637178,7.593738447,13.69833294,0,25.18092144,0,1180.036518,0,1.1203101,16.57761158,186.5991207,2.921636712,2.375271904,0,0.424840802,7.88642862,228.2698299,3.903454079,1.257144488,0
WE3 82718 01 ,Conventional,8/27/2018 3:36,53.16841065,10.41587409,3344.314607,0,1681.357403,0,71.02043214,26.23466206,1.871623557,86.36333029,2.450536117,0,1.177099753,0,265.7518612,0,609.2654505,0,2.983316958,4.457827384,8.171947291,0,39.03879842,0,916.3866143,0,0.614503766,24.29033615,110.4221828,4.411887346,2.11834797,0,0.107288886,20.88480891,95.59542445,2.200892685,0.812552135,0
WE3 82718 02 ,Conventional,8/27/2018 4:45,8.443478535,1.99633677,1132.27262,0,700.9424417,0,52.92782409,49.24793504,2.416281382,19.89879214,2.057114841,0,0.598056249,0,89.72122699,0,94.69102029,0,1.156157439,5.82952163,2.608306813,0,28.08769954,0,483.0321769,0,0.508985102,45.56457979,45.22886701,13.244423,0.787881652,0,0.156353068,40.17084993,59.88952229,2.96726818,0.105541501,0
WE3 091018 01,Conventional,9/10/2018 4:35,12.68102067,2.087541455,1697.032977,0,891.173424,0,38.33335577,0,0,24.26424401,2.342535364,0,0.679052764,0,159.6834824,4.412698447,278.4142791,0,2.11421974,0,5.422602811,0,35.49749811,0,806.1695497,0,0.789840494,0,54.49025139,0,1.313453548,0,0.211705504,0,74.71087378,0,0.122593389,0
WE3 091118 03,Conventional,9/11/2018 7:15,22.15971868,1.030066485,3602.579327,0,900.4949146,0,15.06405702,0,0,34.8684251,2.319659984,0,0.829817945,0,123.396166,6.072283583,670.2840574,0,1.331100212,0,4.612162219,0,24.82029043,0,467.5548166,0,1.34270185,0,55.42627053,0,2.811549155,0,0.049453143,0,69.15640914,0,0.269669516,0
WE3 091218 04,Conventional,9/11/2018 17:25,3.856428173,11.30310772,788.8887044,0,208.4707806,0,1.70857485,0,0,0,1.023025138,0,0.124770447,0,22.80434795,8.497638762,19.21120591,0,0.309754759,0,1.446293868,0,8.300544455,0,232.2862678,0,0.200138073,0,16.96778056,0,0.391396777,0,0.043099759,0,33.3516563,0,0.014585454,0
WE3 091218 06,Conventional,9/11/2018 19:45,2.765269095,2.468823899,589.1968254,0,107.0538236,0,0,99.36122136,0,0,0.624872344,0,0.019127742,0,4.393138899,22.37931944,5.858711991,0,0.018101324,0,0.470832832,0,3.892493799,0,93.35218197,0,0.157641634,0,6.713352075,0,0.211265502,0,0.004515733,0,16.63981994,0,0,0
WE3 091218 07,Conventional,9/12/2018 1:20,4.215201251,1.024224216,721.0921042,0,287.0602092,0,0.733042267,0,0,0,0.999459082,0,0.123003489,0,12.85705249,7.976068157,25.88508183,0,0.145386341,0,1.113700031,0,10.16860309,0,201.9531114,0,0.32684919,0,19.68890818,0,0.654892059,0,0.008715987,0,29.95075206,0,0.004298521,0
