FS data Date,FS data Time,roof,FS Sample Number,Bottle Number,date,time,sample_code
9/12/2018,4:57:00 PM,we2,10,1,9/12/2018,4:57:00 PM,we2 091218 01
9/12/2018,8:10:00 PM,we2,11,2,9/12/2018,8:10:00 PM,we2 091218 02
9/13/2018,8:16:00 PM,we2,12,3,9/13/2018,8:16:00 PM,we2 091318 03
9/13/2018,11:55:00 PM,we2,13,4,9/13/2018,11:55:00 PM,we2 091318 04
9/16/2018,6:06:00 AM,we2,14,1,9/16/2018,6:06:00 AM,we2 091618 01
9/16/2018,1:15:00 PM,we2,15,2,9/16/2018,1:15:00 PM,we2 091618 02
9/16/2018,11:50:00 PM,we2,16,3,9/16/2018,11:50:00 PM,we2 091618 03
10/5/2018,4:34:00 PM,we2,18,1,10/5/2018,4:34:00 PM,we2 100518 01
10/5/2018,10:36:00 PM,we2,19,2,10/5/2018,10:36:00 PM,we2 100518 02
10/6/2018,12:25:00 AM,we2,20,3,10/6/2018,12:25:00 AM,we2 100618 03
10/6/2018,2:10:00 AM,we2,21,4,10/6/2018,2:10:00 AM,we2 100618 04
10/6/2018,3:40:00 AM,we2,22,5,10/6/2018,3:40:00 AM,we2 100618 05
10/6/2018,6:15:00 AM,we2,23,6,10/6/2018,6:15:00 AM,we2 100618 06
10/6/2018,10:00:00 AM,we2,24,7,10/6/2018,10:00:00 AM,we2 100618 07
10/6/2018,3:40:00 PM,we2,25,8,10/6/2018,3:40:00 PM,we2 100618 08
10/7/2018,1:55:00 AM,we2,26,9,10/7/2018,1:55:00 AM,we2 100718 09
10/7/2018,2:40:00 PM to 6:45 PM,we2,27 to 28,1 to 2,10/7/2018,6:45:00 PM,we2 100718 01 to 2
10/7/2018 to 10/8/2018,11:35:00 PM to 2:10 Am,we2,29 to 30,3 to 4,10/8/2018,2:10:00 AM,we2 100818 03 to 4
10/8/2018,6:15:00 AM,we2,31,5,10/8/2018,6:15:00 AM,we2 100818 05
10/8/2018,10:10:00 AM,we2,32,6,10/8/2018,10:10:00 AM,we2 100818 06
10/8/2018,2:40:00 PM,we2,33,7,10/8/2018,2:40:00 PM,we2 100818 07
10/8/2018,8:05:00 PM,we2,34,8,10/8/2018,8:05:00 PM,we2 100818 08
10/9/2018,5:10:00 AM,we2,35,9,10/9/2018,5:10:00 AM,we2 100918 09
10/25/2018,12:12:00 PM to 9:14 PM,we2,38 to 39,1 to 02,10/25/2018,9:14:00 PM,we2 102518 01 to 02
