sample_code,B,Na,Mg,Al,P,K,Ca,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,As,Se,Sr,Mo,Cd,Ba,Pb
we3 060818 01,3.69,383.44,209.51,44.54,0,422.91,7172.32,0,0.91,0.16,34.36,15.65,0.35,0.84,6.03,213.38,0.23,0,10.51,0.25,0.14,33.51,0.05
we3 060818 02,2.56,533.35,73.73,44.43,0,125.57,2481.84,0,0.21,0.03,3.92,2.33,0.03,0.18,0.33,55.99,0.1,0,5.82,0.11,0.04,20.29,0.03
we3 060818 03,3.05,361.1,161.23,14.06,0,370.14,4584.3,0,0.84,0.06,24.85,9.64,0.24,0.93,5.87,189.19,0.2,0,15.39,0.23,0.09,28.2,0.02
we3 081118 01,43.77,2328.64,2049.94,119.33,480.49,1943.43,33492.56,4.49,2.44,1.8,349.93,2101.11,2.84,7.78,16.48,274.35,1.21,1,108.03,2.63,0.05,158.06,1.62
we3 081118 02,31.05,3516.22,3121.8,237.04,625.42,3162.23,60259.8,9.21,4.94,3.17,395.57,1103.19,4.64,14.43,25.43,1181.37,1.12,0.89,186.6,2.39,0.42,228.27,1.28
we3 082718 01,53.17,3364.81,1684.03,71.02,173.9,2394.76,26827.6,3.75,2.45,1.25,266.2,615.4,2.98,8.9,39.29,917.72,0.61,0,110.42,2.13,0.11,95.6,0.84
we3 082719 02,8.44,1152.77,703.61,52.93,111.06,540.02,18234.85,4.3,2.06,0.67,90.17,100.82,1.16,3.34,28.34,484.37,0.51,1.68,45.23,0.8,0.16,59.89,0.13
we2 091218 01,15.45,9947.24,960.93,31.09,294.51,7426.37,12898.02,3.31,3.95,0.94,2.67,48.88,0.33,2.96,27.44,384.52,1.95,0,71.19,1.46,0.1,25.15,0.29
we2 091218 02,12.93,3429.32,679.89,63.18,784.52,5861.01,7684.94,3.36,3.99,1.37,4.03,87.28,1.11,2.45,17.36,176.86,1.63,2.75,34.02,0.76,1.03,16.21,1.23
we2 091318 03,14.39,3457.7,828.82,27.21,869.94,6687.8,10726.64,4.89,3.98,0.65,1.04,79.51,0.32,1.42,17.98,162.87,1.29,0.94,41.92,0.58,0.01,17.13,0.09
we3 091018 01,12.68,1704.29,891.5,53.27,349.96,1395.91,19374.12,5.45,2.36,0.79,159.68,278.47,2.12,5.43,35.55,807.83,0.84,0.36,54.56,1.33,0.25,75.37,0.15
we3 091118 03,22.16,3609.84,900.83,30,287.14,1557.82,17069.61,6.06,2.33,0.94,123.4,670.34,1.33,4.62,24.87,469.22,1.39,2.39,55.5,2.83,0.09,69.81,0.3
we3 091218 04,3.86,796.15,208.8,16.64,92.66,271.15,5074.19,3.93,1.04,0.24,22.8,19.27,0.31,1.45,8.35,233.95,0.25,0.36,17.04,0.41,0.09,34.01,0.04
we3 091218 06,2.77,596.46,107.38,5.19,36.19,182.49,2616.18,3.93,0.64,0.13,4.39,5.92,0.02,0.48,3.95,95.02,0.2,1.35,6.79,0.23,0.05,17.29,0.03
we3 091218 07,4.22,728.35,287.39,15.67,77.05,189.9,7005.28,3.93,1.01,0.24,12.86,25.94,0.15,1.12,10.22,203.62,0.37,2.39,19.76,0.67,0.05,30.61,0.03
we3 091218 08,3.49,748.37,125.36,5.59,62.45,137.71,2714.82,5.42,0.52,0.19,0.09,4.55,0.01,0.41,4.11,107.67,0.1,0.36,8.6,0.19,0.06,17.77,0.01
we3 091218 09,4.97,805.8,234.94,21.01,107.09,190.75,5295.76,3.93,0.88,0.22,0.63,7.92,0.03,0.84,8.1,172.64,0.23,0.36,18.2,0.39,0.03,29.46,0
we3 091218 10,1.8,240.36,92.83,10.31,34,21.05,2817.75,4.67,0.49,0.19,0.71,5.74,0.02,0.6,4.24,119.13,0.18,1.3,6.92,0.3,0.05,34.87,0.01
we3 091218 12,0.51,148.88,33.7,6.25,24.4,43.71,993.09,3.93,0.11,0.07,1.38,2.71,0.02,0.08,1.53,46.97,0.13,0.36,1.3,0.05,0.02,6.45,0
