Sample name,Roof,Datetime,NO3,NH3,PO4
we2 011619 03,Eco,01/16/2019 20:15,0.0980128,0,0.105506008
we2 011819 01 ,Eco,01/18/2019 18:30,0,0,0.034550502
we2 011819 02 ,Eco,01/18/2019 20:50,0,0,0.076828457
we2 011819 03,Eco,01/18/2019 23:15,0,0,0.073138112
we3 011619 02,Conventional,01/16/2019 19:30,0.0290296,0.42318822,0.006585993
we3 011819 01 ,Conventional,01/18/2019 16:20,0,0,0.00905514
we3 011819 02 ,Conventional,01/18/2019 18:05,0,0,0
we3 011819 03 ,Conventional,01/18/2019 21:20,0,0,0
we2 011919 04  ,Eco,01/19/2019 4:30,0,0,0.051404779
we2 012019 05 ,Eco,01/19/2019 9:40,0,0,0.092016575
we2 021119 02,Eco,02/11/2019 2:50,0,0,0.044002491
we2 021119 03,Eco,02/11/2019 18:55,0,0.11471036,0.062477124
we2 021119 04,Eco,02/11/2019 23:40,0,0,0.069861823
we2 021219 05,Eco,02/12/2019 2:15,0,0.62238121,0.05098396
we2 021219 06,Eco,02/12/2019 5:15,0,0.05270476,0.05098396
we2 021219 07,Eco,02/12/2019 8:05,0,0.10230924,0.155390756
we2 021219 08,Eco,02/12/2019 10:20,0,0,0.061246054
we2 021219 09,Eco,02/12/2019 15:25,0,0,0.078473583
we2 021319 10,Eco,02/13/2019 8:35,0,0.11781064,0.064528725
we3 021119 02,Conventional,02/11/2019 7:10,0.0136129,0.16741512,0.010701766
we3 021119 03,Conventional,02/11/2019 18:05,0,0.47434284,0.011524724
we3 021119 04,Conventional,02/11/2019 23:25,0,0.79522182,0.012347646
we3 021219 05,Conventional,02/12/2019 2:10,0,0.30537758,0.017284414
we3 021219 06,Conventional,02/12/2019 6:55,0,0.13718739,0.001235133
we3 021219 07,Conventional,02/12/2019 9:40,0,0.01782661,0.00905574
we3 020519 01,Conventional,02/05/2019 14:35,0.484292,0.15248969,0.021397387
we2 022019 01,Eco,02/20/2019 17:10,0,0,0.036592922
we3 021919 01,Conventional,02/19/2019 21:30,0,0,0
we2 022319 01,Eco,02/23/2019 15:10,0.049899,0.16673642,0.236101105
we2 022419 02,Eco,02/24/2019 5:30,0,0,0.022597105
we3 022219 01 ,Conventional,02/22/2019 18:15,0.0256658,0.0987775,0
we3 022419 02,Conventional,02/24/2019 2:00,0.0138742,1.40561616,0
we2 040619 01,Eco,04/06/2019 9:35,0.0721441,0.07053137,0.046044938
we2 040619 02,Eco,04/06/2019 22:55,0,0,2.052123767
we2 040719 01,Eco,04/07/2019 11:20,0,0,0.038241774
we3 040619 03,Conventional,04/06/2019 10:15,0,0.25034761,0.00493884
we3 040719 04,Conventional,04/07/2019 2:10,0,0.20229327,0.003292706
we2 040819 02,Eco,04/08/2019 5:50,0,0.0750709,0.046067336
we2 040919 03,Eco,04/09/2019 6:45,0,0.118533,0.055924073
we2 041619 01,Eco,04/16/2019 6:40,0,0,0.03742847
we3 041519 01,Conventional,04/15/2019 15:45,0.218758,0.51443322,0.027975635
we3 041919 01,Conventional,04/19/2019 14:35,0.5930836,0.0276577,0
we3 041919 02,Conventional,04/19/2019 20:40,0.8251036,0.43225034,0.013165005
we3 051419 02,Conventional,05/14/2019 7:40,1.2128348,1.1379168,0
we3 051419 03,Conventional,05/14/2019 9:20,0.1060994,0.34848702,0
we3 051519 04 ,Conventional,05/15/2019 1:05,0.0609844,0.44805474,0
we2 051819 01,Eco,05/18/2019 10:42,0.2099928,0,0.023004144
we2 051919 02,Eco,05/19/2019 1:55,0.2324214,0,0.281860424
we2 051919 03,Eco,05/19/2019 3:35,1.0395932,0,0.140860886
we2 051919 04,Eco,05/19/2019 5:35,1.3226576,0,0.11922858
we2 051919 05,Eco,05/19/2019 8:50,0.9207474,0,0.11677803
we3 051819 01,Conventional,05/18/2019 18:20,0.0032372,1.09287426,0
we3 051819 02,Conventional,05/18/2019 19:10,0.058922,0.15567334,0
we3 051819 03,Conventional,05/18/2019 21:45,0.0694918,0.13354718,0
we3 051819 04,Conventional,05/18/2019 22:30,0.0694918,0.13354718,0
we3 051819 05,Conventional,05/18/2019 22:50,0.0694918,0.13354718,0
we3 051919 11,Conventional,05/19/2019 0:05,0,0.51206256,0
we3 051919 12,Conventional,05/19/2019 0:25,0,0.51206256,0
we3 051919 13,Conventional,05/19/2019 0:35,0,0.51206256,0
we3 051919 14,Conventional,05/19/2019 0:45,0,0.51206256,0
we3 051919 15,Conventional,05/19/2019 0:55,0,0.51206256,0
we3 051919 16,Conventional,05/19/2019 1:00,0.0529926,0,0
we3 051919 17,Conventional,05/19/2019 1:10,0.0529926,0,0
we3 051919 18,Conventional,05/19/2019 1:25,0.0529926,0,0
we3 051919 19,Conventional,05/19/2019 1:40,0.0529926,0,0
we3 051919 20,Conventional,05/19/2019 2:40,0.0194786,0.05373496,0
