datetime,airtemp.c,rh.percent,ws_ms,winddir_deg
7/10/2018 11:45,21.66,51.75,0.388,55.6
7/10/2018 12:00,21.65,51.91,0.788,178.3
7/10/2018 12:15,21.53,52.08,1.575,143.5
7/10/2018 12:30,21.7,51.62,1.038,101.5
7/10/2018 12:45,22.27,49.43,0.263,80.9
7/10/2018 13:00,22.15,49.81,1.338,310.9
7/10/2018 13:15,22.17,50.36,1.313,317.1
7/10/2018 13:30,21.96,50.12,0.675,256
7/10/2018 13:45,22.21,51.75,2.275,286
7/10/2018 14:00,23,47.63,1.188,3.969
7/10/2018 14:15,23.52,46.1,1.15,302.9
7/10/2018 14:30,24.12,44.59,1.975,303.6
7/10/2018 14:45,23.38,46.21,1.613,204.2
7/10/2018 15:00,24.2,44.19,2.425,287.3
7/10/2018 15:15,24.5,43.58,1.863,296.8
7/10/2018 15:30,24.02,44.97,2.138,282.4
7/10/2018 15:45,24.2,45.64,3.2,262
7/10/2018 16:00,24.22,45.62,3.462,287.5
7/10/2018 16:15,24.1,45.13,3.475,246
7/10/2018 16:30,25.02,43.58,2.788,309.2
7/10/2018 16:45,25.14,42.32,3,291.7
7/10/2018 17:00,24.88,43.03,3.875,348.8
7/10/2018 17:15,24.15,45.34,3.788,267.5
7/10/2018 17:30,24.24,46.27,3.575,332.7
7/10/2018 17:45,23.98,47.77,2.95,313
7/10/2018 18:00,24.5,46.01,2.95,281.8
7/10/2018 18:15,24.28,48.81,3.562,290.4
7/10/2018 18:30,24.52,47.89,1.775,300.7
7/10/2018 18:45,23.69,48.17,4.775,309.5
7/10/2018 19:00,23.69,48.6,4.312,287.8
7/10/2018 19:15,23.85,49.64,3.288,329.4
7/10/2018 19:30,23.2,50.79,3.688,295
7/10/2018 19:45,23.1,52.8,2.963,295
7/10/2018 20:00,22.54,55.74,2.6,314.5
7/10/2018 20:15,22.16,56.89,2.625,288.8
7/10/2018 20:30,21.72,58.67,2.788,293
7/10/2018 20:45,21.23,62.39,2.488,281.5
7/10/2018 21:00,20.65,64.76,3.063,260.7
7/10/2018 21:15,20.41,65.76,2.375,282.5
7/10/2018 21:30,20.01,68.15,2.213,303.6
7/10/2018 21:45,19.65,69.83,2.4,297.5
7/10/2018 22:00,19.39,71.59,2.638,280
7/10/2018 22:15,19.06,73.68,1.425,284.3
7/10/2018 22:30,18.83,73.92,5.212,275.1
7/10/2018 22:45,18.63,75.22,2.913,305.6
7/10/2018 23:00,18.44,76.12,2.988,289.9
7/10/2018 23:15,18.25,77.42,3.475,264.2
7/10/2018 23:30,18.11,78.51,2.163,290.7
7/10/2018 23:45,17.97,79.28,1.463,272.7
7/11/2018 00:00,17.85,79.97,3.562,290.9
7/11/2018 00:15,17.83,80.6,2.75,298.7
7/11/2018 00:30,17.69,81,2.3,293.8
7/11/2018 00:45,17.6,81.3,3.388,305.7
7/11/2018 01:00,17.57,81.2,2.875,271.5
7/11/2018 01:15,17.49,80.7,2.663,305
7/11/2018 01:30,17.45,80.3,2.638,310.5
7/11/2018 01:45,17.34,80.8,2.475,292.4
7/11/2018 02:00,17.21,80.5,2,311.4
7/11/2018 02:15,17.11,80.7,2.138,288.7
7/11/2018 02:30,16.99,81.2,2.888,50.44
7/11/2018 02:45,17.01,81.3,3.375,294.2
7/11/2018 03:00,16.87,81.4,3.063,287.9
7/11/2018 03:15,16.79,80.8,3.275,313.7
7/11/2018 03:30,16.54,82.2,2.188,279.1
7/11/2018 03:45,16.42,83.8,1.525,285.8
7/11/2018 04:00,16.37,83.8,2.337,312.1
7/11/2018 04:15,16.25,84.1,2.35,292.8
7/11/2018 04:30,16.05,84.8,2.7,268.2
7/11/2018 04:45,15.93,85.6,2.4,314
7/11/2018 05:00,15.91,85.7,3.063,307.8
7/11/2018 05:15,15.71,86.3,1.825,309.2
7/11/2018 05:30,15.65,84.9,3.338,305.6
7/11/2018 05:45,15.61,84.6,3.413,322
7/11/2018 06:00,15.57,85.5,2,305.4
7/11/2018 06:15,15.67,83.9,3.663,297.2
7/11/2018 06:30,15.71,83.2,2.213,323.6
