"","storm_id","pollutant","roof","p_mg_m2"
"1",1,"Al","eco",0.0582
"2",1,"As","eco",0.00188
"3",1,"B","eco",0.0176
"4",1,"Ba","eco",0.0214
"5",1,"Ca","eco",11.8
"6",1,"Cd","eco",0.000669
"7",1,"Co","eco",0.00092
"8",1,"Cr","eco",0.0013
"9",1,"Cu","eco",0.0227
"10",1,"Fe","eco",0.107
"11",1,"K","eco",8.07
"12",1,"Mg","eco",0.971
"13",1,"Mn","eco",0.00326
"14",1,"Mo","eco",0.000862
"15",1,"Na","eco",4.43
"16",1,"Ni","eco",0.00249
"17",1,"P","eco",1.06
"18",1,"Pb","eco",0.000849
"19",1,"Se","eco",0.00237
"20",1,"Sr","eco",0.0489
"21",1,"Ti","eco",0.00531
"22",1,"V","eco",0.00513
"23",1,"Zn","eco",0.219
"24",2,"Al","con",0.15
"25",2,"Al","eco",0.503
"26",2,"As","con",0.00235
"27",2,"As","eco",0.0136
"28",2,"B","con",0.0659
"29",2,"B","eco",0.137
"30",2,"Ba","con",0.539
"31",2,"Ba","eco",0.176
"32",2,"Ca","con",72.4
"33",2,"Ca","eco",98.5
"34",2,"Cd","con",8e-04
"35",2,"Cd","eco",3e-04
"36",2,"Co","con",0.00167
"37",2,"Co","eco",0.00282
"38",2,"Cr","con",0.0026
"39",2,"Cr","eco",0.00504
"40",2,"Cu","con",0.0845
"41",2,"Cu","eco",0.2
"42",2,"Fe","con",0.141
"43",2,"Fe","eco",0.665
"44",2,"K","con",4.28
"45",2,"K","eco",61.1
"46",2,"Mg","con",2.65
"47",2,"Mg","eco",6.62
"48",2,"Mn","con",0.138
"49",2,"Mn","eco",0.0117
"50",2,"Mo","con",0.00557
"51",2,"Mo","eco",0.00611
"52",2,"NH3","eco",2.13
"53",2,"NO3","eco",1.22
"54",2,"Na","con",10.4
"55",2,"Na","eco",52.2
"56",2,"Ni","con",0.0103
"57",2,"Ni","eco",0.0137
"58",2,"P","con",0.467
"59",2,"P","eco",4.09
"60",2,"PO4","eco",0.482
"61",2,"Pb","con",0.000721
"62",2,"Pb","eco",0.000699
"63",2,"Se","con",0.0152
"64",2,"Se","eco",0.00498
"65",2,"Sr","con",0.161
"66",2,"Sr","eco",0.409
"67",2,"Ti","con",0.065
"68",2,"Ti","eco",0.0814
"69",2,"V","con",0.00412
"70",2,"V","eco",0.0343
"71",2,"Zn","con",1.99
"72",2,"Zn","eco",0.812
"73",3,"Al","con",0.0252
"74",3,"Al","eco",0.674
"75",3,"As","con",0
"76",3,"As","eco",0.00858
"77",3,"B","con",0.0179
"78",3,"B","eco",0.0548
"79",3,"Ba","con",0.0826
"80",3,"Ba","eco",0.142
"81",3,"Ca","con",11.8
"82",3,"Ca","eco",112
"83",3,"Cd","con",0.00206
"84",3,"Cd","eco",0.000129
"85",3,"Co","con",0.000488
"86",3,"Co","eco",0.00276
"87",3,"Cr","con",0.00187
"88",3,"Cr","eco",0.00418
"89",3,"Cu","con",0.00872
"90",3,"Cu","eco",0.151
"91",3,"Fe","con",0.0395
"92",3,"Fe","eco",0.482
"93",3,"K","con",3.04
"94",3,"K","eco",13.9
"95",3,"Mg","con",0.278
"96",3,"Mg","eco",6.95
"97",3,"Mn","con",0.0125
"98",3,"Mn","eco",0.00313
"99",3,"Mo","con",0.00054
"100",3,"Mo","eco",0.00175
"101",3,"NH3","con",6.34
"102",3,"NH3","eco",3.17
"103",3,"NO3","con",0
"104",3,"NO3","eco",3.48
"105",3,"Na","con",1.01
"106",3,"Na","eco",31.6
"107",3,"Ni","con",0.0199
"108",3,"Ni","eco",0.0147
"109",3,"P","con",0.0194
"110",3,"P","eco",1.27
"111",3,"PO4","con",1.55
"112",3,"PO4","eco",0.695
"113",3,"Pb","con",0.00101
"114",3,"Pb","eco",0.00409
"115",3,"Se","con",0
"116",3,"Se","eco",0
"117",3,"Sr","con",0.0178
"118",3,"Sr","eco",0.436
"119",3,"Ti","con",0
"120",3,"Ti","eco",0.0139
"121",3,"V","con",0.0012
"122",3,"V","eco",0.0263
"123",3,"Zn","con",0.54
"124",3,"Zn","eco",0.817
"125",4,"Al","con",0
"126",4,"Al","eco",0.829
"127",4,"As","con",0
"128",4,"As","eco",0.0105
"129",4,"B","con",0.0114
"130",4,"B","eco",0.0603
"131",4,"Ba","con",0.0691
"132",4,"Ba","eco",0.132
"133",4,"Ca","con",7.59
"134",4,"Ca","eco",104
"135",4,"Cd","con",0.000297
"136",4,"Cd","eco",0.000223
"137",4,"Co","con",0.000179
"138",4,"Co","eco",0.00172
"139",4,"Cr","con",0.00176
"140",4,"Cr","eco",0.00454
"141",4,"Cu","con",0.00246
"142",4,"Cu","eco",0.142
"143",4,"Fe","con",0.017
"144",4,"Fe","eco",0.515
"145",4,"K","con",1.86
"146",4,"K","eco",14.2
"147",4,"Mg","con",0.462
"148",4,"Mg","eco",6.84
"149",4,"Mn","con",0.00366
"150",4,"Mn","eco",0.00451
"151",4,"Mo","con",0.000209
"152",4,"Mo","eco",0.00159
"153",4,"NH3","con",2.94
"154",4,"NH3","eco",2.84
"155",4,"NO3","con",0
"156",4,"NO3","eco",2.15
"157",4,"Na","con",0.962
"158",4,"Na","eco",32.1
"159",4,"Ni","con",0
"160",4,"Ni","eco",0.0101
"161",4,"P","con",0.0109
"162",4,"P","eco",1.24
"163",4,"PO4","con",0.345
"164",4,"PO4","eco",0.692
"165",4,"Pb","con",0.000333
"166",4,"Pb","eco",0.00215
"167",4,"Se","con",0.00933
"168",4,"Se","eco",0.00135
"169",4,"Sr","con",0.0133
"170",4,"Sr","eco",0.36
"171",4,"Ti","con",0
"172",4,"Ti","eco",0.0301
"173",4,"V","con",0.00111
"174",4,"V","eco",0.0286
"175",4,"Zn","con",0.271
"176",4,"Zn","eco",0.51
"177",5,"Al","con",0
"178",5,"Al","eco",0.593
"179",5,"As","con",0
"180",5,"As","eco",0.00822
"181",5,"B","con",0.0205
"182",5,"B","eco",0.1
"183",5,"Ba","con",0.101
"184",5,"Ba","eco",0.147
"185",5,"Ca","con",10.4
"186",5,"Ca","eco",148
"187",5,"Cd","con",0.000215
"188",5,"Cd","eco",0.000492
"189",5,"Co","con",0.00039
"190",5,"Co","eco",0.0032
"191",5,"Cr","con",0.00631
"192",5,"Cr","eco",0.007
"193",5,"Cu","con",0.00811
"194",5,"Cu","eco",0.134
"195",5,"Fe","con",0.018
"196",5,"Fe","eco",0.668
"197",5,"K","con",3.66
"198",5,"K","eco",23.8
"199",5,"Mg","con",0.374
"200",5,"Mg","eco",8.5
"201",5,"Mn","con",0.00594
"202",5,"Mn","eco",0.0256
"203",5,"Mo","con",6.85e-05
"204",5,"Mo","eco",0.00277
"205",5,"NH3","con",30.2
"206",5,"NH3","eco",6.21
"207",5,"NO3","con",0
"208",5,"NO3","eco",0
"209",5,"Na","con",1.2
"210",5,"Na","eco",39.2
"211",5,"Ni","con",0
"212",5,"Ni","eco",0.00943
"213",5,"P","con",0.0325
"214",5,"P","eco",1.78
"215",5,"PO4","con",0.639
"216",5,"PO4","eco",0.952
"217",5,"Pb","con",0.00163
"218",5,"Pb","eco",0.00408
"219",5,"Se","con",0
"220",5,"Se","eco",0
"221",5,"Sr","con",0.0373
"222",5,"Sr","eco",0.54
"223",5,"Ti","con",0
"224",5,"Ti","eco",0.0301
"225",5,"V","con",0.000513
"226",5,"V","eco",0.0395
"227",5,"Zn","con",0.49
"228",5,"Zn","eco",0.344
"229",6,"NH3","con",2.59
"230",6,"NH3","eco",1.78
"231",6,"NO3","con",0.0551
"232",6,"NO3","eco",0
"233",6,"PO4","con",0.318
"234",6,"PO4","eco",0.307
"235",7,"NH3","con",3.65
"236",7,"NH3","eco",3.15
"237",7,"NO3","con",1.31
"238",7,"NO3","eco",0.112
"239",7,"PO4","con",0.34
"240",7,"PO4","eco",0.561
"241",8,"Al","eco",0.808
"242",8,"As","eco",0.00946
"243",8,"B","eco",0.0678
"244",8,"Ba","eco",0.131
"245",8,"Ca","eco",132
"246",8,"Cd","eco",6.75e-05
"247",8,"Co","eco",0.00114
"248",8,"Cr","eco",0.00341
"249",8,"Cu","eco",0.0809
"250",8,"Fe","eco",0.359
"251",8,"K","eco",16.5
"252",8,"Mg","eco",6.93
"253",8,"Mn","eco",0.0134
"254",8,"Mo","eco",0.0029
"255",8,"NH3","con",7.12
"256",8,"NH3","eco",5.71
"257",8,"NO3","con",0.286
"258",8,"NO3","eco",0.0453
"259",8,"Na","eco",24.6
"260",8,"Ni","eco",0.0542
"261",8,"P","eco",1.14
"262",8,"PO4","con",0.872
"263",8,"PO4","eco",0.874
"264",8,"Pb","eco",0.00388
"265",8,"Se","eco",0
"266",8,"Sr","eco",0.394
"267",8,"Ti","eco",0.0212
"268",8,"V","eco",0.0246
"269",8,"Zn","eco",0.214
"270",9,"Al","con",0.125
"271",9,"As","con",0
"272",9,"B","con",0.00898
"273",9,"Ba","con",0.104
"274",9,"Ca","con",12
"275",9,"Cd","con",0.000149
"276",9,"Co","con",0.000176
"277",9,"Cr","con",0.00266
"278",9,"Cu","con",0.00338
"279",9,"Fe","con",0.0211
"280",9,"K","con",3.68
"281",9,"Mg","con",0.327
"282",9,"Mn","con",0
"283",9,"Mo","con",0.000145
"284",9,"NH3","con",10.7
"285",9,"NO3","con",0
"286",9,"Na","con",0.519
"287",9,"Ni","con",0.00595
"288",9,"P","con",0.286
"289",9,"PO4","con",0.356
"290",9,"Pb","con",0.00339
"291",9,"Se","con",0
"292",9,"Sr","con",0.0175
"293",9,"Ti","con",0.00517
"294",9,"V","con",0
"295",9,"Zn","con",0.511
"296",10,"Al","con",0.106
"297",10,"As","con",0
"298",10,"B","con",0.0295
"299",10,"Ba","con",0.068
"300",10,"Ca","con",10.9
"301",10,"Cd","con",0.000178
"302",10,"Co","con",0.00014
"303",10,"Cr","con",0.00153
"304",10,"Cu","con",0.00388
"305",10,"Fe","con",0.0116
"306",10,"K","con",2.71
"307",10,"Mg","con",0.94
"308",10,"Mn","con",0.000656
"309",10,"Mo","con",0.000292
"310",10,"NH3","con",6.01
