"","pollutant","roof","load"
"1","Al","con",3.66855549452338
"2","Al","eco",10.6082108551527
"3","As","con",0.0276863134426071
"4","As","eco",0.175268862968968
"5","B","con",0.593323544939522
"6","B","eco",1.50870998129338
"7","Ba","con",4.92000309356024
"8","Ba","eco",3.248794537503
"9","Ca","con",682.041373177347
"10","Ca","eco",3616.32411272727
"11","Cd","con",0.00984588791173803
"12","Cd","eco",0.00519571484831999
"13","Co","con",0.0780896333880788
"14","Co","eco",0.0635413980431548
"15","Cr","con",0.131642129455697
"16","Cr","eco",0.12176958788672
"17","Cu","con",0.652640028027687
"18","Cu","eco",1.92182907783421
"19","Fe","con",3.55741800626844
"20","Fe","eco",8.09054868483422
"21","K","con",144.35309035542
"22","K","eco",401.209450782443
"23","Mg","con",32.4139192370047
"24","Mg","eco",185.960397893544
"25","Mn","con",1.90893349215286
"26","Mn","eco",0.200899912075736
"27","Mo","con",0.0413712506482075
"28","Mo","eco",0.0537792087627479
"29","NH3","con",330.281272628602
"30","NH3","eco",102.848642200465
"31","NO3","con",29.3344823745237
"32","NO3","eco",14.2292257342743
"33","Na","con",147.317342686565
"34","Na","eco",499.352935786302
"35","Ni","con",0.245421728333877
"36","Ni","eco",0.263518422684826
"37","P","con",14.7568941013801
"38","P","eco",40.6451371777884
"39","PO4","con",10.7463494264721
"40","PO4","eco",42.4429019795295
"41","Pb","con",0.0361644312484429
"42","Pb","eco",0.0388774976123682
"43","Se","con",0.2929525593726
"44","Se","eco",0.167408140638627
"45","Sr","con",1.08587673597482
"46","Sr","eco",12.1055652050338
"47","Ti","con",0.158873900182895
"48","Ti","eco",0.445837194403227
"49","V","con",0.0336991813512598
"50","V","eco",0.676272186637479
"51","Zn","con",22.6624066437273
"52","Zn","eco",7.72899226410627
