"","pollutant","roof","n","min","IQR","max","median"
"1","Al","con",24,0,0.216784409911705,0.604866105785793,0.089861243091202
"2","Al","eco",23,0.0360101755774301,0.480554015982258,0.963371478942084,0.503076354227731
"3","As","con",24,0,0.00149166133110394,0.00602818835296056,0.000557364446120713
"4","As","eco",23,0.0018789771247275,0.0061651610909285,0.0255865156647518,0.00553977405369005
"5","B","con",24,0,0.0212155592029007,0.090140418268552,0.0205630371268599
"6","B","eco",23,0.00553416876505515,0.074686696396266,0.181457820515712,0.0548430354044252
"7","Ba","con",24,0.0278485164292266,0.154651699681021,1.12939960004121,0.11137246291429
"8","Ba","eco",23,0.0214538004583613,0.0945360349176361,0.433241010507921,0.132203037403497
"9","Ca","con",24,4.39253087385655,31.3593783617782,146.194226773291,16.5021483385173
"10","Ca","eco",23,11.8475813870172,103.18066721387,521.541581826448,125.310134033728
"11","Cd","con",24,0,0.000248502232032163,0.00209649532238033,0.000225034657627653
"12","Cd","eco",23,0,0.000229451445674418,0.000669224729355,0.000180172985000589
"13","Co","con",24,0.000139762645567743,0.0011144823620382,0.041898562110116,0.000716533874723942
"14","Co","eco",23,0.000352491571292372,0.00199331787176196,0.0251685778415314,0.00172108876623134
"15","Cr","con",24,7.69349632752735e-05,0.00644129271506685,0.0184392142906357,0.00351320657827374
"16","Cr","eco",23,0.000132143415465817,0.00569728395120061,0.0151419393437423,0.00418065047688371
"17","Cu","con",24,0.0024603385590924,0.0116842670590361,0.252919502442204,0.00937253803934263
"18","Cu","eco",23,0.0132158082577985,0.0996532381155092,0.239801470093838,0.0618473594334935
"19","Fe","con",24,0.0116045477922897,0.0912210281844092,1.75307152286977,0.0529444716296297
"20","Fe","eco",23,0.0594361763884706,0.37493956468231,0.933490785525879,0.271542710676815
"21","K","con",24,0.409780394969681,4.83557088704555,22.9577515957469,4.06375549759167
"22","K","eco",23,3.65781380107145,14.0815883758559,61.0523585380066,13.9049438094802
"23","Mg","con",24,0.15757291892796,1.20112330498376,8.98137498948111,0.682060780764023
"24","Mg","eco",23,0.970832732139598,5.42971943725071,26.6049443967277,6.84310561100635
"25","Mn","con",24,0,0.0205512584899299,1.28683827920083,0.0113851428770497
"26","Mn","eco",23,0,0.0100325654606219,0.0262881813388814,0.00450581908129966
"27","Mo","con",24,6.8464418297973e-05,0.00194528554266709,0.0100821828121813,0.000696105703258304
"28","Mo","eco",23,0.000396461224450902,0.00174275329773853,0.00751654895467826,0.00158840584313793
"29","NH3","con",24,2.5923619427175,10.2230248754142,59.1166302546628,10.7689694857453
"30","NH3","eco",19,0.861317724521302,2.97490785678317,28.6394365215363,3.50553911660154
"31","NO3","con",24,0,0.347553785938156,12.3641338782441,0.013839499003546
"32","NO3","eco",19,0,0.835694203897937,3.47746914660824,0.045249390760966
"33","Na","con",24,0.518658597995825,5.80817275939293,23.341013633227,4.17224021102729
"34","Na","eco",23,4.13957206622946,22.4586568916047,57.7915318875822,16.176859604368
"35","Ni","con",24,0,0.00853233008819114,0.0481853553710999,0.0062060112910873
"36","Ni","eco",23,0.00121233583357292,0.00927603369257882,0.0541675411459721,0.00943394910317814
"37","P","con",24,0.0108941577765016,0.700969468847781,2.61562560922314,0.386596347905732
"38","P","eco",23,0.313305147985422,1.11429087401167,6.80490296823557,1.26644560048267
"39","PO4","con",24,0.0435537216401473,0.28465380270176,1.54862304836105,0.342812241434525
"40","PO4","eco",19,0.22051530630241,0.931891341071704,20.886186676896,0.703487165299491
"41","Pb","con",24,0.000332843823647189,0.00119056011088771,0.00698189030600452,0.000927185152529048
"42","Pb","eco",23,0.000155298064197151,0.0018027951893152,0.00409374880049024,0.00122037580127188
"43","Se","con",24,0,0.01059666323969,0.15097898171371,0.00016866384862312
"44","Se","eco",23,0,0.00601117952077206,0.0746339236229998,0
"45","Sr","con",24,0.00703294372531618,0.0336845195314787,0.255402585280229,0.0256971798774578
"46","Sr","eco",23,0.0488662749492488,0.418720905652812,1.7819943936327,0.419123623924218
"47","Ti","con",24,0,0.00521236972460958,0.0649669847390233,0.000449080213080197
"48","Ti","eco",23,0.000359756242718955,0.0212263569290184,0.0813785293605603,0.0125921450019721
"49","V","con",24,0,0.000940318466945027,0.00677083884659807,0.000781910972133454
"50","V","eco",23,0.00512857797399938,0.0224255112890634,0.098836120418314,0.0253586321144838
"51","Zn","con",24,0.152350705435983,0.794303442704454,3.4858457262803,0.647173832746673
"52","Zn","eco",23,0.0517172124059481,0.2608982364511,0.971090423357525,0.218611266638244
